	title	is_fake	title_processed
5130	Единственный французский авианосец сломался после двух лет ремонта	0	единственный французский авианосец сломался после двух лет ремонта
2727	158-летняя избирательница пришла в студию CNN и подтвердила, что голосовала за Байдена	1	летняя избирательница пришла в студию cnn и подтвердила что голосовала за байдена
781	Мировая премьера фильма о Гарри Поттере назначена на 4 ноября	0	мировая премьера фильма о гарри поттере назначена на  ноября
2651	Доставка «Гитлер-кебаб» в Гамбурге просуществовала 12 минут с момента открытия	1	доставка гитлеркебаб в гамбурге просуществовала  минут с момента открытия
5588	Геймеры готовят коллективный иск против Razer из-за нового игрового кресла-унитаза Throne Chroma	1	геймеры готовят коллективный иск против razer изза нового игрового креслаунитаза throne chroma
1749	Из-за российских санкций в армии США образовался дефицит танков	1	изза российских санкций в армии сша образовался дефицит танков
2126	МОК учредил специальный фонд для помощи украинским спортсменам	0	мок учредил специальный фонд для помощи украинским спортсменам
4945	Квентин Тарантино намерен вернуть на экран братьев Вега	0	квентин тарантино намерен вернуть на экран братьев вега
4573	Газпром отвел Украине месяц на погашение газового долга	0	газпром отвел украине месяц на погашение газового долга
2423	Производитель смартфонов Meizu поднял цены в России из-за обвала рубля	0	производитель смартфонов meizu поднял цены в россии изза обвала рубля
5617	ЕСПЧ восстановил в служении схиигумена Сергия	1	еспч восстановил в служении схиигумена сергия
4959	Россия потребовала от Британии оплатить ремонт судов, пострадавших при инциденте с HMS Defender	1	россия потребовала от британии оплатить ремонт судов пострадавших при инциденте с hms defender
883	Губернатор Ленинградской области распорядился ввести плату за купание в водоёмах региона	1	губернатор ленинградской области распорядился ввести плату за купание в водоёмах региона
3100	Второй фильм о хоббите возглавил североамериканский кинопрокат	0	второй фильм о хоббите возглавил североамериканский кинопрокат
1091	Среди полицейских, соблюдающих масочный режим, разыграют генеральское звание	1	среди полицейских соблюдающих масочный режим разыграют генеральское звание
4159	Российскую радиостанцию оштрафовали за отсутствие титров на латышском языке	1	российскую радиостанцию оштрафовали за отсутствие титров на латышском языке
3833	Центробанк потерял 15 миллиардов рублей после совета от Алексея Вильнюсова по покупке иностранных гособлигаций	1	центробанк потерял  миллиардов рублей после совета от алексея вильнюсова по покупке иностранных гособлигаций
531	Контейнеровоз Ever Given застрял в Панамском канале	1	контейнеровоз ever given застрял в панамском канале
3311	Система утвердила дивидендную политику на три года вперед	0	система утвердила дивидендную политику на три года вперед
2438	Вор в законе назвал «достойным поступком» отказ Навального от работы в колонии	1	вор в законе назвал достойным поступком отказ навального от работы в колонии
4665	МВД Беларуси обучит голубей срывать БЧБ-ленточки	1	мвд беларуси обучит голубей срывать бчбленточки
4230	Samsung и Giorgio Armani выпустят серию модной электроники	0	samsung и giorgio armani выпустят серию модной электроники
3646	Аэрофлот возобновляет полеты в Ирак	0	аэрофлот возобновляет полеты в ирак
4710	Марадона вернулся в свою первую команду	0	марадона вернулся в свою первую команду
2290	Писториус обвинил тюремных медсестер в попытке убийства	0	писториус обвинил тюремных медсестер в попытке убийства
1727	В Самаре принудительно усыпили попугая, выкрикивавшего лозунг «Свободу Навальному!»	1	в самаре принудительно усыпили попугая выкрикивавшего лозунг свободу навальному
610	История второго «Вия» развернется в Китае	0	история второго вия развернется в китае
570	«Нам бы такого президента!»: американцы выразили восхищение российскими выплатами перед выборами	1	нам бы такого президента американцы выразили восхищение российскими выплатами перед выборами
3481	Жители деревни Изенгардово под Оренбургом пожаловались на притеснения эльфами на почве расовой неприязни	1	жители деревни изенгардово под оренбургом пожаловались на притеснения эльфами на почве расовой неприязни
5033	В Москве сын депутата сбил на зебре прохожего, который хотел на него напасть	1	в москве сын депутата сбил на зебре прохожего который хотел на него напасть
343	Робот-тостер прошагал рекордное расстояние	0	роботтостер прошагал рекордное расстояние
3961	В Сколково разработали нано-дисплей, реагирующий на прикосновение пальца	1	в сколково разработали нанодисплей реагирующий на прикосновение пальца
636	Совет директоров «Локомотива» утвердил отставку главного тренера Черевченко	0	совет директоров локомотива утвердил отставку главного тренера черевченко
434	Непривитых россиянок исключат из программы материнского капитала	1	непривитых россиянок исключат из программы материнского капитала
1903	В среду прошел 21 футбольный матч чемпионата мира 2002 года	0	в среду прошел  футбольный матч чемпионата мира  года
97	Бывший форвард сборной ЮАР по футболу погиб в ДТП	0	бывший форвард сборной юар по футболу погиб в дтп
2927	Сотрудники Pixar нарисовали мультфильм в свободное от работы время	0	сотрудники pixar нарисовали мультфильм в свободное от работы время
4683	Депутата Рашкина проверят на причастность к сокращению популяции амурского тигра	1	депутата рашкина проверят на причастность к сокращению популяции амурского тигра
2069	Из-за замедления Twitter в Ольгино перешли на 60-часовую рабочую неделю	1	изза замедления twitter в ольгино перешли на часовую рабочую неделю
1537	Евгений Касперский решил возглавить лабораторию имени себя	0	евгений касперский решил возглавить лабораторию имени себя
4561	Франция поставит Марокко новейший многоцелевой фрегат	0	франция поставит марокко новейший многоцелевой фрегат
4395	Bosch заблокировала все стиральные машины в Белом доме до 20 января	1	bosch заблокировала все стиральные машины в белом доме до  января
4578	Лукашенко объявил джихад Литве	1	лукашенко объявил джихад литве
3066	Челси обыграл Арсенал в полуфинале Кубка Англии	0	челси обыграл арсенал в полуфинале кубка англии
1517	Любимый игрок Георгия Ярцева за миллион фунтов переходит в Болтон	0	любимый игрок георгия ярцева за миллион фунтов переходит в болтон
965	Российская биатлонистка выиграла спринтерскую гонку на этапе Кубка мира	0	российская биатлонистка выиграла спринтерскую гонку на этапе кубка мира
5064	Бывшая солистка Crystal Castles обвинила сооснователя группы в изнасилованиях	0	бывшая солистка crystal castles обвинила сооснователя группы в изнасилованиях
528	Маленькие зубастые рыбы возглавили российский прокат	0	маленькие зубастые рыбы возглавили российский прокат
176	Курникова переигрывает сеяную теннисистку	0	курникова переигрывает сеяную теннисистку
2470	Собрание акционеров ЗАО «РПЦ» приняло поправки в положение «Об обработке персональных данных при исповедании рабов Божьих»	1	собрание акционеров зао рпц приняло поправки в положение об обработке персональных данных при исповедании рабов божьих
4334	Манижа поедет на Евровидение с новой песней «Стакан и красные трусы»	1	манижа поедет на евровидение с новой песней стакан и красные трусы
3317	Боксер Крус рассказал о намерении стать первым в истории чемпионом-геем	0	боксер крус рассказал о намерении стать первым в истории чемпиономгеем
5377	В центре Минска произошла поножовщина между фанатками Коли Лукашенко и Влада А4	1	в центре минска произошла поножовщина между фанатками коли лукашенко и влада а
572	Беларусь продаст воздушное пространство России	1	беларусь продаст воздушное пространство россии
4921	Федеральный бюджет закончил квартал с профицитом	0	федеральный бюджет закончил квартал с профицитом
592	Газпром назвал дату начала эксплуатации Северного потока	0	газпром назвал дату начала эксплуатации северного потока
4772	Москва становится Парижем по стоимости аренды офисов	0	москва становится парижем по стоимости аренды офисов
3782	Владельцев ценных бумаг предложили освободить от уплаты подоходного налога	0	владельцев ценных бумаг предложили освободить от уплаты подоходного налога
2374	В Подмосковье 1200 тортов «Прага» раздавили бульдозером	1	в подмосковье  тортов прага раздавили бульдозером
5400	«А «Панорама» предупреждала»: Сергей Смирнов посетовал, что не поверил материалу «место всех блогеров в Лефортово»	1	а панорама предупреждала сергей смирнов посетовал что не поверил материалу место всех блогеров в лефортово
4538	В Суздале арестована гадалка, предсказавшая победу Навального на президентских выборах в 2024 году	1	в суздале арестована гадалка предсказавшая победу навального на президентских выборах в  году
3826	Букмекеры пострадали от скандинавской ничьей	0	букмекеры пострадали от скандинавской ничьей
2208	British Airways извинилась перед хулиганом Павлом Буре	0	british airways извинилась перед хулиганом павлом буре
3349	В App Store появилось приложение «Никому не известный видеоблогер»	1	в app store появилось приложение никому не известный видеоблогер
2492	После первого тайма счет во встрече Грузия-Россия не открыт	0	после первого тайма счет во встрече грузияроссия не открыт
4248	Президент футбольного клуба Лацио получил два года тюрьмы	0	президент футбольного клуба лацио получил два года тюрьмы
383	Падению результатов Медведевой нашлось объяснение	0	падению результатов медведевой нашлось объяснение
852	Антимонопольщики уличили банки и страховщиков в массовом сговоре	0	антимонопольщики уличили банки и страховщиков в массовом сговоре
1880	Gorillaz выпустили четыре клипа на песни из грядущего альбома	0	gorillaz выпустили четыре клипа на песни из грядущего альбома
370	Сандра Буллок удочерила девочку из детского дома	0	сандра буллок удочерила девочку из детского дома
4279	Ванкуверские бизнесмены собрали деньги родным погибшего саночника	0	ванкуверские бизнесмены собрали деньги родным погибшего саночника
4017	Обзор рынков: цена на золото достигла семимесячного максимума	0	обзор рынков цена на золото достигла семимесячного максимума
4961	«Не посетил раз в год психиатра – значит, есть проблемы»: в Госдуме рассмотрят новый порядок признания граждан недееспособными	1	не посетил раз в год психиатра  значит есть проблемы в госдуме рассмотрят новый порядок признания граждан недееспособными
1105	Аутсайдер чемпионата КХЛ уволил тренера	0	аутсайдер чемпионата кхл уволил тренера
3358	ЦИК отказался проводить референдум о вступлении России в ВТО	0	цик отказался проводить референдум о вступлении россии в вто
2361	Facebook заблокировал официальную страницу производителя сыра Hochland	1	facebook заблокировал официальную страницу производителя сыра hochland
4625	Эльдар Рязанов объявил номинантов Ники за 2004 год	0	эльдар рязанов объявил номинантов ники за  год
1336	Герман Греф заявил об успешной покупке Федеральной антимонопольной службы	1	герман греф заявил об успешной покупке федеральной антимонопольной службы
2189	Российские фондовые индексы откатились от исторических максимумов	0	российские фондовые индексы откатились от исторических максимумов
5278	Роналду позавидовал лучшему футболисту мира	0	роналду позавидовал лучшему футболисту мира
5184	У россиян решили проверять телефоны перед допуском на избирательные участки	1	у россиян решили проверять телефоны перед допуском на избирательные участки
5555	ВВС Китая понадобились 185-сантиметровые пилоты	0	ввс китая понадобились сантиметровые пилоты
2246	Из-за санкций вместо робота Фёдора на Луну полетит робот Марфа	1	изза санкций вместо робота фёдора на луну полетит робот марфа
3822	Российская земля оказалась в несколько раз дешевле европейской	0	российская земля оказалась в несколько раз дешевле европейской
5573	Бывший российский министр стал французским виноделом	0	бывший российский министр стал французским виноделом
1171	Крупнейшим российским дистрибутором лекарств заинтересовался Роман Абрамович	0	крупнейшим российским дистрибутором лекарств заинтересовался роман абрамович
3383	Русский музей переименуют в Российский	1	русский музей переименуют в российский
4906	Алексея Навального депортируют в Германию из-за незаконного пересечения границы	1	алексея навального депортируют в германию изза незаконного пересечения границы
1422	Центробанк позволил СБС-Агро расплатиться с долгами и решил отобрать у него банковскую лицензию	0	центробанк позволил сбсагро расплатиться с долгами и решил отобрать у него банковскую лицензию
2686	Сторонники Греты Тунберг взорвали нефтехранилище стратегического резерва Индии	1	сторонники греты тунберг взорвали нефтехранилище стратегического резерва индии
4231	Coldplay станут хедлайнерами Гластонбери-2011	0	coldplay станут хедлайнерами гластонбери
3454	Басманный суд лишил Гарри Каспарова звания чемпиона мира по шахматам	1	басманный суд лишил гарри каспарова звания чемпиона мира по шахматам
4771	Роскомнадзор потребовал от YouTube удалить все видео с целующимся Брежневым	1	роскомнадзор потребовал от youtube удалить все видео с целующимся брежневым
1464	Семь россиянок добились побед на старте US Open	0	семь россиянок добились побед на старте us open
874	«Роскосмос» займется вывозом мусора из Москвы	1	роскосмос займется вывозом мусора из москвы
2297	Полиция сочла врача Джексона невиновным в гибели поп-звезды	0	полиция сочла врача джексона невиновным в гибели попзвезды
2643	Клим Шипенко потерял видеозаписи, сделанные на борту МКС	1	клим шипенко потерял видеозаписи сделанные на борту мкс
3044	Сербского футболиста отчислили из сборной за отказ петь национальный гимн	0	сербского футболиста отчислили из сборной за отказ петь национальный гимн
5203	Министерство по налогам и сборам перевыполнило план	0	министерство по налогам и сборам перевыполнило план
1251	Неймар ушел с тренировки «Барселоны» после ссоры с одноклубником	0	неймар ушел с тренировки барселоны после ссоры с одноклубником
3226	Финалист Кубка Гагарина отказался от участия в сезоне КХЛ	0	финалист кубка гагарина отказался от участия в сезоне кхл
840	Россия отдаст Беларуси деньги, полученные от перенаправленных через её воздушное пространство самолётов	1	россия отдаст беларуси деньги полученные от перенаправленных через её воздушное пространство самолётов
5405	Совет раввинов Израиля объявил мясо свиней, привитых от COVID-19, кошерным	1	совет раввинов израиля объявил мясо свиней привитых от covid кошерным
581	Роспотребнадзор предъявил претензии владельцу «IL Патио» и «Планета суши»	0	роспотребнадзор предъявил претензии владельцу il патио и планета суши
204	Родившие мальчиков будут получать повышенный материнский капитал	1	родившие мальчиков будут получать повышенный материнский капитал
1641	Полицейские спасли москвича, заблудившегося в метро Екатеринбурга	1	полицейские спасли москвича заблудившегося в метро екатеринбурга
2014	Гарик Мартиросян обвинил правительство в использовании шуток Comedy Club при подготовке законов	1	гарик мартиросян обвинил правительство в использовании шуток comedy club при подготовке законов
905	Россия обнародовала свой план по реформированию мировой экономики	0	россия обнародовала свой план по реформированию мировой экономики
631	Белорусский священник отказался освятить БЧБ-яйца и сдал прихожан в КГБ	1	белорусский священник отказался освятить бчбяйца и сдал прихожан в кгб
5157	Оскар де ла Хойя нокаутировал Рикардо Майоргу	0	оскар де ла хойя нокаутировал рикардо майоргу
1974	«Библейскому чуду» нашли тривиальное объяснение	0	библейскому чуду нашли тривиальное объяснение
162	Суд в Комсомольске-на-Амуре внес роман Островского «Как закалялась сталь» в список экстремистских материалов	1	суд в комсомольскенаамуре внес роман островского как закалялась сталь в список экстремистских материалов
4942	В список эфирных войдёт телеканал, целиком посвящённый Сталинградской битве	1	в список эфирных войдёт телеканал целиком посвящённый сталинградской битве
3739	Москва передаст старую плитку для восстановления тротуаров в Секторе Газа	1	москва передаст старую плитку для восстановления тротуаров в секторе газа
5170	Россияне останутся без плацкарта	0	россияне останутся без плацкарта
4449	Названы причины возвращения Игнашевича в сборную	0	названы причины возвращения игнашевича в сборную
617	Украинский производитель соли раскрасит российские упаковки в цвета ЛГБТ в честь месяца гордости	1	украинский производитель соли раскрасит российские упаковки в цвета лгбт в честь месяца гордости
875	Патриарх Варфоломей призвал скупать фьючерсы на индексы нефтедобывающих стран в рамках коррекции иены против доллара	1	патриарх варфоломей призвал скупать фьючерсы на индексы нефтедобывающих стран в рамках коррекции иены против доллара
1431	Англичане подарят Вологде три автомобиля Rolls-Royce в благодарность за партию теплой зимней одежды	1	англичане подарят вологде три автомобиля rollsroyce в благодарность за партию теплой зимней одежды
2973	Ubisoft выпустит самоучитель игры на гитаре	0	ubisoft выпустит самоучитель игры на гитаре
4358	В России введут акциз на кофе	1	в россии введут акциз на кофе
547	Паваротти даст прощальный концерт в Москве 21 декабря	0	паваротти даст прощальный концерт в москве  декабря
4237	Тимошенко объявила о защищенности Украины от финансового кризиса	0	тимошенко объявила о защищенности украины от финансового кризиса
5227	В США разрешили «виагру для женщин»	0	в сша разрешили виагру для женщин
4844	Лукашенко поручил наказать чиновников, из-за которых был незаконно арестован Сергей Тихановский	1	лукашенко поручил наказать чиновников изза которых был незаконно арестован сергей тихановский
3121	Каждый зарегистрированный участник митинга за освобождение Навального получит купон на скидку в «Пятерочке»	1	каждый зарегистрированный участник митинга за освобождение навального получит купон на скидку в пятерочке
3473	Жириновский обвинил Капелло в намеренном ухудшении результатов сборной	0	жириновский обвинил капелло в намеренном ухудшении результатов сборной
4633	Иран презентует российским компаниям нефтегазовые проекты	0	иран презентует российским компаниям нефтегазовые проекты
4691	В Shell подтвердили желание инвестировать в Россию в условиях санкций	0	в shell подтвердили желание инвестировать в россию в условиях санкций
2856	Кельтский тигр не приедет в Москву	0	кельтский тигр не приедет в москву
1861	Белорусов обяжут вешать портрет Лукашенко в своих квартирах	1	белорусов обяжут вешать портрет лукашенко в своих квартирах
2659	Из конструкции гоночного КамАЗа исчезла последняя отечественная деталь	1	из конструкции гоночного камаза исчезла последняя отечественная деталь
5281	Суд в США признал фейком два произведения Говарда Лавкрафта	1	суд в сша признал фейком два произведения говарда лавкрафта
640	В Японии резко вырастет производство батареек	0	в японии резко вырастет производство батареек
4999	На Берлинском фестивале состоялась международная премьера фильма 13 дней	0	на берлинском фестивале состоялась международная премьера фильма  дней
3905	Getty остается за ЛУКОЙЛом	0	getty остается за лукойлом
5622	Двое сыновей депутата Госдумы получали детское пособие до 40 лет	1	двое сыновей депутата госдумы получали детское пособие до  лет
637	Российские юристы помогут Талибану* подготовить иск к США о компенсации за оккупацию Афганистана	1	российские юристы помогут талибану подготовить иск к сша о компенсации за оккупацию афганистана
4969	Для участия в митингах понадобится запись на портале Госуслуг	1	для участия в митингах понадобится запись на портале госуслуг
4318	Новая SimCity потребует постоянного подключения к интернету	0	новая simcity потребует постоянного подключения к интернету
2308	В Сибири построят город для белорусов с оппозиционными взглядами	1	в сибири построят город для белорусов с оппозиционными взглядами
3904	Совет директоров «Роснефти» одобрил выпуск биржевых облигаций	0	совет директоров роснефти одобрил выпуск биржевых облигаций
3488	Саркози призвал создать европейскую газовую биржу	0	саркози призвал создать европейскую газовую биржу
2096	Росгосстрах решил стать конкурентом Сбербанка	0	росгосстрах решил стать конкурентом сбербанка
3240	Ростовское МВД стало участником проекта «Правовая помощь онлайн в МФЦ»	0	ростовское мвд стало участником проекта правовая помощь онлайн в мфц
4022	Голландцы одерживают победу над датчанами	0	голландцы одерживают победу над датчанами
1372	Депутаты предложили оградить Госдуму укрепрайоном, чтобы «не было, как в Америке»	1	депутаты предложили оградить госдуму укрепрайоном чтобы не было как в америке
3708	Представитель «Альтернативы для Германии» похвалил Соловьева за объективную оценку Гитлера	1	представитель альтернативы для германии похвалил соловьева за объективную оценку гитлера
921	Абрамович узнал об иске ЕБРР из СМИ и уведомления не получал	0	абрамович узнал об иске ебрр из сми и уведомления не получал
546	Мэнни Пакьяо набрал первое очко в Филиппинской баскетбольной ассоциации	0	мэнни пакьяо набрал первое очко в филиппинской баскетбольной ассоциации
1449	«Колумб завещал Америку московскому князю»: РАН обнародовала сенсационные документы первооткрывателя	1	колумб завещал америку московскому князю ран обнародовала сенсационные документы первооткрывателя
2804	Астрономы увидели молодые Солнечные системы	0	астрономы увидели молодые солнечные системы
2610	Желающие на выходных выехать за границу россияне заплатят пошлину 50 тысяч рублей	1	желающие на выходных выехать за границу россияне заплатят пошлину  тысяч рублей
1900	В Минсельхозе предложили вернуть трудодни	1	в минсельхозе предложили вернуть трудодни
2757	Центробанк запретил выдавать кредиты на айфоны	1	центробанк запретил выдавать кредиты на айфоны
2028	Тренер сборной Уругвая назвал стартовый состав на матч с Францией	0	тренер сборной уругвая назвал стартовый состав на матч с францией
2301	Московская область отказалась от матчей чемпионата мира по футболу	0	московская область отказалась от матчей чемпионата мира по футболу
1885	Норвегия обвинила Россию в попытках остановить Гольфстрим	1	норвегия обвинила россию в попытках остановить гольфстрим
1642	Бобслеистку Ирину Скворцову выпишут из реанимации	0	бобслеистку ирину скворцову выпишут из реанимации
972	Глава ВТБ сравнил Банк Москвы с Lehman Brothers	0	глава втб сравнил банк москвы с lehman brothers
5529	США не намерены искусственно снижать цены на нефть	0	сша не намерены искусственно снижать цены на нефть
2097	Нафтогаз Украины потребовал ликвидировать Укргаз-Энерго	0	нафтогаз украины потребовал ликвидировать укргазэнерго
4998	Греф посоветовал победителям всероссийских олимпиад осваивать профессию робота	1	греф посоветовал победителям всероссийских олимпиад осваивать профессию робота
4421	Газпром попросил Путина избавить его от возможных штрафов по налогам	0	газпром попросил путина избавить его от возможных штрафов по налогам
5169	Спецприёмники Москвы готовят места для участников и гостей книжной ярмарки Non/Fiction	1	спецприёмники москвы готовят места для участников и гостей книжной ярмарки nonfiction
5716	С 1 января в России зарплаты мужчин будут официально выше, чем у женщин	1	с  января в россии зарплаты мужчин будут официально выше чем у женщин
836	«Американская подлодка врезалась в Атлантиду»: российский эксперт раскрыл правду об инциденте в Тихом океане	1	американская подлодка врезалась в атлантиду российский эксперт раскрыл правду об инциденте в тихом океане
601	Свекла и морковь стали самыми прибыльными инвестициями в 2021 году	1	свекла и морковь стали самыми прибыльными инвестициями в  году
2184	AMD выпустила энергосберегающие процессоры для настольных ПК	0	amd выпустила энергосберегающие процессоры для настольных пк
4575	Россиянин Сергей Иванов выиграл этап Тур де Франс	0	россиянин сергей иванов выиграл этап тур де франс
4317	Отдых в Ибице и Мальорке подорожает на 1 евро в день	0	отдых в ибице и мальорке подорожает на  евро в день
4941	Медведев может возглавить Росалкогольрегулирование	1	медведев может возглавить росалкогольрегулирование
1582	В России запретят зимнюю рыбалку без QR-кода	1	в россии запретят зимнюю рыбалку без qrкода
4896	Харрисон Форд раскритиковал американских политиков и режиссеров	0	харрисон форд раскритиковал американских политиков и режиссеров
5572	Студенты филфака МГУ призвали хейтить и шеймить тех, кто употребляет иностранные слова	1	студенты филфака мгу призвали хейтить и шеймить тех кто употребляет иностранные слова
3560	После Евровидения Манижа устроит тур по республикам Кавказа	1	после евровидения манижа устроит тур по республикам кавказа
1070	В родное село Гагарина провели газ	1	в родное село гагарина провели газ
1775	Рогозин сообщил о намерении отправить Навального на Луну	1	рогозин сообщил о намерении отправить навального на луну
5528	Американские химики синтезировали молекулу-фрактал	0	американские химики синтезировали молекулуфрактал
1283	Минэкономразвития и NYMEX договорились о создании биржи в Петербурге	0	минэкономразвития и nymex договорились о создании биржи в петербурге
3992	Негосударственные фонды начали охоту за будущими пенсионерами-молчунами	0	негосударственные фонды начали охоту за будущими пенсионерамимолчунами
4195	В США арестовали порноактёра из Brazzers, приняв его за Евгения Пригожина	1	в сша арестовали порноактёра из brazzers приняв его за евгения пригожина
